Sr. No.,Description,Status,Resolution,Verification
1,On Login screen Invalid password alerts are not showing,Implemented; local regression verified,Inline login error is rendered inside the login card.,Visible invalid-password text and screenshot.
2,User Name sholud not be case sensitive.,Implemented; local regression verified,Authentication and password verification use ordinal case-insensitive usernames; passwords remain case-sensitive.,Mixed-case ADMIN login through Enter.
3,Show First Time Setup screen if user (Admin) First Time login in application,Implemented; local regression verified,First administrator login opens setup after any mandatory password change; completion persists.,First-time dialog and persisted completion check.
4,Login through enter key not working,Implemented; local regression verified,Enter submits the login form.,Headless keyboard Enter authentication.
5,Multiple dashboard button is not working,Implemented; local regression verified,Enabled dashboard layout selector and removed heading hit-test interception.,"Enabled selector, layout selection, Simple Feed capture."
6,Add option to create a default customer that is selected automatically when new invoice is created,Implemented; local regression verified,Customer creation/edit and existing-customer selection offer a default checkbox; new documents load the saved customer; clear option included.,"Default survives model restart, populates new invoice, and can be cleared."
7,"on selection on an item, same item getting add two times",Implemented; local regression verified,Suggestion handler guards re-entry and clears selection before adding.,One selection produces exactly one invoice line.
8,Brand Logo is not getting save,Implemented; local regression verified,Logo image contents are stored with settings and rendered when the company screen reopens; old file paths still load.,Embedded image persistence and rendered image after reopening. Native file picker needs manual smoke check.
9,Toggle buttons are highlighted after the toggle set to On,Implemented; local regression verified,Removed outer selected highlight while retaining the on/off track and thumb appearance.,Checked toggle presenter remains transparent; screenshot reviewed.
10,on three dot button click dropdown should be opne instead of POP ups window.,Implemented; local regression verified,Toolbar and row action buttons use anchored MenuFlyout dropdowns; destructive actions still confirm.,Both toolbar/row flyouts checked; row action executes; screenshot reviewed.
11,on invoice completion payment screen opens multiple times.,Implemented; local regression verified,Saving payment closes the form; completion screen ignores repeat save shortcuts until a new document is started.,"Payment form closes, one payment recorded, repeat Ctrl+S does not save again."
